
       时间               用户           事件
2016-02-17 08:31:36       root      登陆成功 
2016-02-17 08:31:40       root      删除-cjp 
2016-02-17 08:31:55       cjp      注册-cjp 
2016-02-17 08:31:55       cjp      登陆成功 
2016-03-11 08:47:30       root      登陆成功 
2016-03-11 08:47:33       root      删除-cjp 
2016-03-11 08:47:48       cjp      注册-cjp 
2016-03-11 08:47:48       cjp      登陆成功 
2016-03-11 08:53:14       root      登陆成功 
2016-03-11 08:53:17       root      删除-cjp 
2016-02-17 08:58:38       cjp      注册-cjp 
2016-02-17 08:58:38       cjp      登陆成功 
2016-03-11 09:01:12       root      登陆成功 
2016-03-11 09:01:27       root      登陆成功 
2016-03-11 09:01:31       root      删除-cjp 
2016-03-11 09:01:51       陈金彭      注册-陈金彭 
2016-03-11 09:01:51       陈金彭      登陆成功 
2016-02-17 09:17:37       陈金彭      登陆成功 
2016-02-17 09:18:08       root      登陆成功 
2016-02-17 09:18:14       root      删除-陈金彭 
2016-02-17 09:18:37       cjp      注册-cjp 
2016-02-17 09:18:37       cjp      登陆成功 
2016-04-10 09:32:15       cjp      登陆成功 
2016-04-12 09:33:49       cjp      登陆成功 
2016-04-12 09:34:39       cjp      登陆成功 
2016-02-17 09:43:04       root      登陆成功 
2016-02-17 09:43:09       root      删除-cjp 
2016-02-17 09:43:43       cjp      注册-cjp 
2016-02-17 09:43:43       cjp      登陆成功 
2016-03-11 09:44:58       cjp      登陆成功 
2016-03-11 09:47:03       root      登陆成功 
2016-03-11 09:47:12       root      删除-cjp 
2016-03-11 09:47:26       cjp      注册-cjp 
2016-03-11 09:47:26       cjp      登陆成功 
2016-04-11 09:48:50       cjp      登陆成功 
2016-05-11 09:50:15       cjp      登陆成功 
2016-05-11 09:50:31       root      登陆成功 
2016-05-11 09:50:44       root      删除-cjp 
2016-02-17 09:53:09       cjp      注册-cjp 
2016-02-17 09:53:09       cjp      登陆成功 
2016-02-17 10:07:04       cjp      登陆成功 
2016-04-10 10:08:09       cjp      登陆成功 
2016-04-10 10:09:40       cjp      登陆成功 
2016-04-10 10:10:39       cjp      登陆成功 
2016-04-10 10:16:14       root      登陆成功 
2016-04-10 10:16:21       root      删除-cjp 
2016-02-17 10:28:23       cjp      注册-cjp 
2016-02-17 10:28:23       cjp      登陆成功 
